Respondent ID,Start Date,End Date,language,Please rate how often you listen to music:,,,,,,,Please write down below:,,,,Please rate how much you experience each of the following items when listening to the piece you just named,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How important are the lyrics compared to the music of the piece for you?,Please rate how often you listen to the piece you just named:,,,,,,,Tell us more: Why did you choose this piece of music? (Optional),What is your age (in years)?,What is your gender?,Please select the country in which you spent most of your childhood,Please select the country in which you mostly lived since you were 18 years old,Please select your country of residence,Which of the aforementioned countries best defines your cultural identity?,What is your highest level of education?,,Which title describes you best?,What is your current employment status?,,How would you consider your economic situation respective to your country of residence?,To what extent do you consider music to be beneficial for your wellbeing?,"Below are 16 statements with which you may agree or disagree. Using the 1-7 scale below, please indicate how much you agree with each statement.",,,,,,,,,,,,,,,,"Here are a number of personality traits that may or may not apply to you. Please indicate the extent to which you agree or disagree with each statement. You should rate the extent to which the pair of traits applies to you, even if one characteristic applies more strongly than the other.I see myself as:",,,,,,,,,
,,,,"for background purposes (e.g. when doing something else, help pass the time, or set the atmosphere)",to bring up memories (e.g. by listening to music that takes you back to a certain time or reminds you of loved ones such as friends or relatives),"to have fun (e.g. to feel good, enjoy yourself, seek some entertainment)","to feel music's emotions (e.g. by experiencing music’s emotions, being immersed and moved by them, letting the music evoke emotions in you)","to change your mood (e.g. when you want to relax, feel better, feel focused or creative, vent out negative thoughts or feelings, seek comfort, or feel less lonely)","to express yourself (e.g. to relate with and express your own identity, your social identity, your culture, or to reflect on values and attitudes)","to feel connected to other people (e.g. by sharing music, going to concerts together, bonding with the artists or other fans)",The name of the artist:,The title of the piece of music:,The album of the piece (Optional):,A link to the specific version of the piece you prefer (Optional):,Relaxation,Spirituality,Consolation,Security,Strength,Enthusiasm,Pride,Freedom,Happiness,Pleasure,Love,Sadness,Longing,Vulnerability,Being moved,Nostalgia,Tenderness,Empathy,Curiousity,Amusement,Anger,Tension,Belonging,Loneliness,Pain,Beauty,Eroticism,Energy,Agression,Fear,Dreaminess,Triumph,Rebelliousness,"If there are <strong>other emotions</strong> that you associate with this piece, please name them in the box below:",Response,for background purposes,to bring up memories,to have fun,to feel music's emotions,to change your mood,to express yourself,to feel connected to other people,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Other (please specify),Response,Response,Other (please specify),Response,Response,I'd rather depend on myself than others,I rely on myself most of the time; I rarely rely on others,"I often do ""my own thing""","My personal identity, independent of others, is very important to me",It is important that I do my job better than others,Winning is everything,Competition is the law of nature,"When another person does better than I do, I get tense and aroused","If a colleague gets a prize, I would feel proud",The well-being of my colleagues is important to me,"To me, pleasure is spending time with others",I feel good when I cooperate with others,Parents and children must stay together as much as possible,"It is my duty to take care of my family, even when I have to sacrifice what I want","Family members should stick together, no matter what sacrifices are required",It is important to me that I respect the decisions made by my groups,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experiences, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative"
12871365441,08/05/2021 11:55:09 PM,08/06/2021 12:01:04 AM,es,1,1,1,1,1,1,1,Taylor Swift,Love Story,,,1,4,1,1,1,1,1,1,1,1,2,1,1,4,2,1,4,2,3,4,1,1,2,1,4,2,1,2,1,1,1,4,2,,3,2,2,2,3,2,2,2,,23,2,4,7,4,8,6,,3,4,,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2
12871365340,08/05/2021 11:55:04 PM,08/06/2021 12:00:52 AM,es,1,2,2,2,2,2,2,Madonna Ciccone,Madonna,,,3,2,1,2,1,4,1,1,1,1,1,2,2,1,1,2,1,4,3,1,1,4,4,1,2,2,4,1,1,1,1,1,1,,4,4,2,2,2,2,2,1,,11,1,11,9,7,9,5,,3,6,,1,3,1,2,2,2,2,2,3,2,2,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
12871365208,08/05/2021 11:55:01 PM,08/06/2021 12:00:42 AM,es,2,1,1,1,1,1,2,"Shakira	",Laundry Service,,,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2, ,2,1,2,2,2,2,2,2,,5,1,5,3,5,14,4,,2,5,,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
12871308073,08/05/2021 11:18:37 PM,08/05/2021 11:37:43 PM,es,2,1,5,2,2,2,3,Beyonce Giselle North,If I Were a Boy,,,2,2,2,1,2,1,2,1,2,2,2,4,2,2,2,3,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,2,,3,1,3,1,1,1,1,2,,11,2,4,1,15,13,3,,4,4,,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
12870703808,08/05/2021 07:01:11 PM,08/05/2021 07:36:49 PM,es,3,1,2,3,3,3,2,Justin Bieber,What Do You Mean?,,,1,1,2,1,1,2,2,1,1,2,3,2,1,1,1,3,1,1,2,3,1,3,2,1,2,1,2,3,2,2,2,1,1,,3,2,3,2,2,3,2,4,,12,2,11,5,4,7,6,,2,1,,1,2,2,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1
12870703848,08/05/2021 07:01:11 PM,08/05/2021 07:36:41 PM,es,2,2,2,2,2,2,3,Alicia Keys,Infinite,,,2,1,2,2,1,1,1,1,3,3,3,2,3,2,2,4,2,2,2,1,3,1,1,4,2,2,3,2,3,4,2,3,1,,3,2,2,2,2,2,2,2,,10,2,6,3,5,9,4,,2,5,,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12870703919,08/05/2021 07:01:16 PM,08/05/2021 07:36:30 PM,es,2,3,2,2,2,2,2,Akon,Wanna Be Startin' Somethin,,,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,,3,3,2,2,4,2,1,2,,13,1,5,3,11,3,6,,2,4,,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2
12870703983,08/05/2021 07:01:20 PM,08/05/2021 07:36:21 PM,es,3,2,2,2,2,3,2,Justin Timberlake,Future Sex / Love Sounds,,,2,2,4,1,4,2,2,2,2,2,2,2,4,1,2,1,2,1,2,3,2,2,2,1,4,2,4,1,1,1,2,3,2, ,1,2,2,1,2,2,2,2,,9,2,5,2,7,10,3,,4,5,,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2
12870704059,08/05/2021 07:01:22 PM,08/05/2021 07:36:10 PM,es,2,3,3,2,2,2,2,Akon,Wanna Be Startin' Somethin,,,4,1,2,4,2,1,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,4,4,3,3,1,1,1,,2,2,2,2,2,2,2,2,,6,1,6,5,6,7,6,,4,4,,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2
12870605827,08/05/2021 06:41:20 PM,08/05/2021 07:11:00 PM,es,3,4,1,3,2,2,4,Chopin,Waltz No. 1 Op in E flat major,Waltz No. 1 Op in E flat major,NO,4,1,4,3,3,2,3,2,3,3,2,2,3,1,3,1,4,2,3,2,3,1,3,2,4,3,4,2,3,4,1,2,4,NO,5,1,3,5,4,4,5,2,NO,12,2,3,5,6,5,3,,3,7,,1,2,1,2,3,4,3,4,5,6,5,4,5,6,5,4,3,2,7,6,5,5,4,3,4,5,5,6
