,id,RespondentID,Artist,Track,Link
0,fail,12271575881,Mamontovas,Mario kanjonai,
1,fail,12271576221,Pantetonix,Halelluja,
2,fail,12271582230,Frenkas Sinatra,My way,
3,fail,12271585775,,M. Ravelis,
4,fail,12271591821,Suzi Andrews,Tango 2000,
5,fail,12271592686,Prodigy,,
6,fail,12271595060,Stas Mihailov,Podelim nebo,
7,fail,12271597598,Gojira,L'Enfant Sauvage,https://www.youtube.com/watch?v=BGHlZwMYO9g
8,fail,12271599511,Frenkas Sinatra,My way,
9,fail,12271600301,R.e.m,Losing my religgion,
10,fail,12271600323,Jazzu,Visi atlikėjos kūriniai,
11,fail,12271603255,Daug skirtingų autorių ir atlikėjų,Daug kūrinių,
12,fail,12271603543,Tupac,Dear Mama,
13,fail,12271603807,Submotion Orchestra,Backchat,https://www.youtube.com/watch?v=6Lm0cZwY14I&list=PL07TE5oZgCW4oPH3kRXaUMIlPquUi_XGG&index=2&ab_channel=Dworkingospel
14,fail,12271605354,Jazzu ir Antis,Aš sutikau Naujus metus,
15,fail,12271605781,Gustavo Malerio,10 simfonija,
16,fail,12271608632,Davas Gahanas,Never let my daun again,
17,fail,12271610251,F. Schubert,Simfonija Nr. 9,
18,fail,12271614723,Lady Gaga,I'll never love again,https://www.youtube.com/watch?v=RttANrcBI_I
19,fail,12271619132,Egle Jakstyte,Apie tavč,
20,fail,12271629750,Djali Zwan,Waisting time,
21,fail,12271630411,Marc Philippe,Dancer in the dark (original mix),
22,fail,12271630998,staind,its been a while,https://www.youtube.com/watch?v=araU0fZj6oQ
23,fail,12271640408,"grupė ""Opeth""",Under the weeping moon,
24,fail,12271646192,Bon Jovi,In this arms,
25,fail,12271648994,Slava,Odinocestvo,
26,fail,12271662854,Celtic Thunder,"""Ireland Call"", ""Steal Away"", ""Amazing Grace""",
27,fail,12271663093,Einsturzende Neubauten,Nagorny Karabakh,
28,fail,12271663175,carlos santana,black magic women,
29,fail,12271667685,b. gorbulskis,Mėlynos gatvelės,https://www.youtube.com/watch?v=0m7efsXdo30
30,fail,12271669005,Jazzu,Jausmai,
31,fail,12271670866,John Cage,04:33,
32,fail,12271672298,Eddie Veder,Society,
33,fail,12271672851,Brandon Ackier,Gnossienne by Erik Satie,
34,fail,12271679598,Depeche Mode (Lexicon Avenue Remix),Only When I Lose Myself,https://www.youtube.com/watch?v=YZM0teNBVQo
35,fail,12271679987,Beenie man,King of the dancehalk,https://youtu.be/D_rkOdie5KY
36,fail,12271680916,Vairas,Riešutų žydėjimas,
37,fail,12271681456,Benediktinų vienuoliai,Grigališkas choralas,
38,fail,12271682993,Real Big Fish,Take on Me,https://www.youtube.com/watch?v=QHpU0ZfXZ_g&ab_channel=ReelBigFishVEVO
39,fail,12271685921,Weeknd,Worth it,
40,fail,12271697211,Deja Vu,I Can't Stop,
41,fail,12271700631,pink floid,another brick in the woll,
42,fail,12271700732,Dirig. Carlos Kleiber,R. Wagner. Tristan und Isolde. Vorspiel,
43,fail,12271700836,"Il Volo, Pavarotti, S. Povilaitis, V. KERNAGIS",Nessum Dorma,
44,fail,12271704451,Kertukai,Kai aš mažas buvau,https://www.youtube.com/watch?v=6qUitUMPm28&ab_channel=mal58m
45,fail,12271706157,Kerbedis,Nakty,
46,fail,12271716427,Bilie Myers,Kiss the rain,
47,fail,12271722343,"Merkuris, Kabalje",Barselona,
48,fail,12271728824,Modern Talking,"You’re my heart, you’re my soul",
49,fail,12271734136,Zivert feat. NILETTO,Fly 2,
50,fail,12271744482,Babymetal,Iine!,
51,fail,12271783530,Tate macrae,You broke me first,
52,fail,12271786793,Eglė Sirvidytė,Mano namai,
53,fail,12271798372,Justė Arlauskaitė,You're my life,https://youtu.be/LZsWhODVoLg
54,fail,12271826721,Anna Marija Kaufman,Dunkel Zeit,
